model,region,dice_mean,dice_sd,dice_n,dice_ci_low,dice_ci_high,precision_mean,precision_sd,precision_n,precision_ci_low,precision_ci_high,recall_mean,recall_sd,recall_n,recall_ci_low,recall_ci_high,iou_mean,iou_sd,iou_n,iou_ci_low,iou_ci_high
csfinet,WT,0.7664087795097317,0.18428208110802982,47,0.702492067222232,0.810139282436162,0.7051169512590689,0.22937997464309623,47,0.6323535897800864,0.7652569541497756,0.9059587242527268,0.08094940447983981,47,0.8794281050363303,0.9262512568621936,0.6514959565222704,0.20955693598973194,47,0.5854884984292091,0.7061136960295423
csfinet,TC,0.8092183087797898,0.1842584244169114,47,0.7407492353641268,0.8502393394197109,0.8658099780193625,0.14019822348689645,47,0.8146647483022565,0.8981029287314799,0.7932536387114293,0.20967767524893036,47,0.717758789891268,0.8420379970699677,0.7098865515508814,0.20417201873027874,47,0.6427978463868926,0.7595878268726372
csfinet,ET,0.7936395182752056,0.15998712689670946,47,0.7315137604149811,0.8284618473959852,0.8150536611199957,0.1542837381254199,47,0.7656172867909814,0.8536196847670888,0.806262512694954,0.18234130747818103,47,0.7377464079918463,0.8465503049525281,0.6801905952539755,0.17588022359439942,47,0.6208443976419761,0.722622192373156
unet,WT,0.7412408297044163,0.19258862280126507,47,0.6799062208619449,0.7893183826038547,0.6677045760420832,0.23844409547577142,47,0.5945953382074066,0.7303019227331439,0.9115377662098623,0.07920456231001706,47,0.8858138797449195,0.9310540728536839,0.6210030943285328,0.21735181143568186,47,0.5543626802956126,0.6782451502863748
unet,TC,0.7794830507902683,0.17787663447601687,47,0.7157710194922555,0.8196107245375731,0.8732745417312916,0.13939393305723136,47,0.8235302188009904,0.9057737946028817,0.7391355637570944,0.20386626262433602,47,0.6710901356359157,0.7875557446112222,0.6663321601021961,0.1978849546005295,47,0.6039055824553052,0.7166690652899489
unet,ET,0.7786319631479812,0.1595195212634717,47,0.7209422437259216,0.8146523816818428,0.7972083531407552,0.1605089944997802,47,0.7460128610786687,0.8363494758131788,0.7999984826566174,0.18050983499763487,47,0.7350034375805558,0.8403867728628727,0.660149409968882,0.18086862567635997,47,0.6024422259110233,0.7048041196441673
