experiment,model,n,prediction_mean,prediction_sd,prediction_min,prediction_max,distinct_predictions,observed_sd,prediction_sd_over_observed_sd,prediction_age_r,observed_age_r,prediction_observed_r,mae,analysis_role
survival-heldout,image,47,346.34183843085106,15.420228320315706,326.94903564453125,389.308837890625,47,371.7504783202839,0.0414800497096612,-0.4370240487958816,-0.40473341027840115,0.21949858537256267,273.79689707654586,descriptive_degeneracy_diagnostic
survival-heldout,image_age,47,352.78215643700133,65.80281434009846,272.19488525390625,565.9959716796875,47,371.7504783202839,0.17700801526180054,-0.961665508032152,-0.40473341027840115,0.3886310171397636,263.9785883477394,descriptive_degeneracy_diagnostic
survival-heldout,image_resection,47,364.8668446642287,5.103478348915868,355.01751708984375,379.50457763671875,47,371.7504783202839,0.013728236132944353,-0.4358334748144813,-0.40473341027840115,0.18251790276963997,269.5040971471908,descriptive_degeneracy_diagnostic
survival-heldout,image_age_resection,47,415.4362364424036,82.3306095911515,305.77130126953125,688.54150390625,47,371.7504783202839,0.22146739383673117,-0.9189457022420614,-0.40473341027840115,0.37837054756607275,256.496758643617,descriptive_degeneracy_diagnostic
survival-heldout,training_mean,47,436.7978723404258,2.298318406713974e-13,436.79787234042556,436.79787234042556,1,371.7504783202839,6.182422191085505e-16,,-0.40473341027840115,,260.70642824807607,descriptive_degeneracy_diagnostic
survival-heldout,age_ols,47,441.08116537212163,124.71268727901192,182.9640162056205,772.2661667487386,45,371.7504783202839,0.3354741810757401,-0.9999999999999998,-0.40473341027840115,0.4047334102784011,254.53637317062865,descriptive_degeneracy_diagnostic
