experiment,role,model,model_kind,n,mae,sd_ae,mae_ci_low,mae_ci_high,mae_ci_status,rmse,rmse_ci_low,rmse_ci_high,median_ae,median_ae_ci_low,median_ae_ci_high,mean_residual,sd_residual,pearson,pearson_ci_low,pearson_ci_high,pearson_status,spearman,spearman_ci_low,spearman_ci_high,spearman_status,mask_source
survival-heldout,internal_heldout_fixed_model_evaluation,image,neural,47,273.79689707654586,279.45139775313993,212.25159364279023,376.72636041916775,ok,389.0967355073238,285.37406320795964,558.0882503344459,205.40887451171875,145.031494140625,275.21710205078125,-135.53050199468086,368.67283636985525,0.2194985853725627,-0.07222047865534623,0.4766225843681658,ok,0.02775208140610546,-0.2829301571535789,0.34811792176757766,ok,predicted_CSFINet_WT_study_raw
survival-heldout,internal_heldout_fixed_model_evaluation,image_age,neural,47,263.9785883477394,263.32836975472475,203.68854203419397,355.42457265270156,ok,370.87891195359265,278.5885324188033,519.5574775660996,199.02398681640625,145.3096923828125,245.00274658203125,-129.09018398853058,351.446820496153,0.3886310171397638,0.11421029486344811,0.6079494920498376,ok,0.2502312673450509,-0.01852773923265202,0.49770175140803896,ok,predicted_CSFINet_WT_study_raw
survival-heldout,internal_heldout_fixed_model_evaluation,image_resection,neural,47,269.5040971471908,278.04385677334676,206.0377202596761,369.4862964234991,ok,385.09217777795317,282.5314689668634,555.5652379292553,185.32827758789062,128.58060864833513,284.0902404785156,-117.0054957613032,370.85294956734134,0.18251790276963997,-0.1104372666028553,0.4462931157349896,ok,0.054579093432007404,-0.2531352335856145,0.3469509920704945,ok,predicted_CSFINet_WT_study_raw
survival-heldout,internal_heldout_fixed_model_evaluation,image_age_resection,neural,47,256.496758643617,243.1141370111408,200.99347120592256,343.4203300960803,ok,351.6212857674947,267.23341483657106,480.72312831530536,204.152587890625,133.83444213867188,289.4293212890625,-66.43610398312832,349.0209074508497,0.37837054756607275,0.10232152914884192,0.6003103587573356,ok,0.2262950971322849,-0.06255849770455169,0.4788306377884287,ok,predicted_CSFINet_WT_study_raw
survival-heldout,internal_heldout_fixed_model_evaluation,training_mean,reference,47,260.70642824807607,266.136975739978,199.34495449863738,357.4894505058569,ok,370.5262931687572,274.25522522419834,527.1837636880934,178.20212765957444,125.79787234042556,284.79787234042556,-45.074468085106325,371.7504783202839,,,,undefined_constant_input,,,,undefined_constant_input,reference_no_mask
survival-heldout,internal_heldout_fixed_model_evaluation,age_ols,reference,47,254.53637317062865,227.43360852114162,199.0423414588924,331.87457553617753,ok,339.72673927074084,262.73548705360537,449.9475622129799,212.7479953286836,118.05489794198593,264.65261970352356,-40.791175053410235,340.9151959583498,0.40473341027840126,0.13302789973059478,0.6198567494816856,ok,0.3102630823341852,0.019014253024682928,0.5577365149490311,ok,reference_no_mask
