model,region,dice_mean,dice_sd,dice_n,dice_ci_low,dice_ci_high,precision_mean,precision_sd,precision_n,precision_ci_low,precision_ci_high,recall_mean,recall_sd,recall_n,recall_ci_low,recall_ci_high,iou_mean,iou_sd,iou_n,iou_ci_low,iou_ci_high
csfinet,WT,0.7625497586883324,0.18494205856179488,47,0.7006934398115896,0.8075493895328205,0.7008329272903394,0.2302735918749607,47,0.6282834516089566,0.7601771878413972,0.9043486442103251,0.08232874248892874,47,0.8771793314208738,0.9246711080577087,0.6465113079145994,0.20992028055945394,47,0.5809127259240344,0.7014931511121993
csfinet,TC,0.8016367233889397,0.18632364550066105,47,0.7334628449558099,0.8439037079005474,0.8505985857824068,0.15610194764892135,47,0.7909200654953005,0.8849754242962353,0.7909190005883875,0.21071263864806558,47,0.7135551574001147,0.8379763888971606,0.6995126383085244,0.20500807925465422,47,0.632427082348527,0.7493015546825795
csfinet,ET,0.787137081330284,0.16271311802381172,47,0.7237097397452821,0.8218511049454272,0.8034717809983308,0.16559810731194072,47,0.7475726208022075,0.8432985889863155,0.8033652838417579,0.18580407019375325,47,0.7354379721160843,0.8441423433811852,0.6718006295703537,0.17764980900142838,47,0.6127431829732385,0.7147904935551677
unet,WT,0.7372988749890969,0.19384653471504681,47,0.6741537514831277,0.7858394799252968,0.6630694095747064,0.23965347010645083,47,0.5912394850553779,0.7254029447228246,0.9106065335371755,0.08037852615364063,47,0.8842750659631532,0.9307687989192163,0.6162813842779695,0.21822407967056354,47,0.5495943672474566,0.6741010327455914
unet,TC,0.7763204747975441,0.17870126984935533,47,0.7122441113523582,0.8179684388942348,0.8679054386089821,0.13989564951651,47,0.8201404229509239,0.9011711566499943,0.7384194134252585,0.2048034984790601,47,0.6701797561278091,0.787447257343154,0.6623975615534077,0.19938174854566307,47,0.5996903528535416,0.713242059348857
unet,ET,0.774971628402018,0.1592735047664878,47,0.7164797035959329,0.8113339933599119,0.7934586491466025,0.15968235860163613,47,0.743675678103698,0.8354091116395482,0.7979732239429583,0.18120418310958106,47,0.7357448759678497,0.8394366855202156,0.6552164224400118,0.18113543797076642,47,0.5982389299615601,0.700154847926463
